order_id,order_date,customer_id,segment,region,channel,category,sub_category,quantity,unit_price,discount,revenue,profit,ship_mode,delivery_days,satisfaction_score,returned,currency
ORD-102948,2025-05-07,CUST-00627,Consumer,East,Web,Furniture,Bookcases,6,490.79,0.4,1766.84,249.12,Standard,8.0,4.0,False,GBP
ORD-104264,2025-09-29,CUST-01261,Corporate,Central,Phone,Office Supplies,Storage,2,42.38,0.3,59.33,7.89,First Class,5.0,5.0,False,GBP
ORD-101402,2025-04-28,CUST-00066,Consumer,Central,Mobile App,Technology,Accessories,4,285.29,0.15,969.99,228.92,Second Class,2.0,5.0,False,GBP
ORD-101711,2024-12-11,CUST-01101,Corporate,East,Mobile App,Office Supplies,Storage,2,27.31,0.0,54.62,13.05,Standard,6.0,4.0,False,GBP
ORD-102887,2025-01-07,CUST-00390,Consumer,South,Marketplace,Office Supplies,Paper,8,52.9,0.4,253.92,22.85,Second Class,3.0,4.1,False,GBP
ORD-103618,2024-02-12,CUST-00149,Corporate,North,Web,Office Supplies,Storage,8,21.45,0.2,137.28,22.1,Standard,7.0,4.6,False,GBP
ORD-100884,2024-03-14,CUST-00818,Corporate,West,Mobile App,Furniture,Furnishings,4,99.66,0.4,239.18,27.51,Same Day,3.0,4.8,False,GBP
ORD-102097,2025-01-29,CUST-00262,,South,Web,Technology,Copiers,8,124.07,0.2,794.05,135.78,Standard,7.0,3.2,False,GBP
ORD-100380,2025-09-05,CUST-00810,Consumer,North,Web,Furniture,Furnishings,2,525.15,0.4,630.18,80.66,Standard,6.0,5.0,False,GBP
ORD-104214,2025-09-08,CUST-00458,,North,Marketplace,Office Supplies,Paper,7,19.0,0.0,133.0,46.95,Standard,7.0,2.3,False,GBP
ORD-103406,2025-01-27,CUST-00637,,West,Mobile App,Furniture,Tables,2,191.55,0.0,383.1,113.01,Standard,5.0,4.1,False,GBP
ORD-103033,2025-05-16,CUST-00191,Home Office,West,Marketplace,Furniture,Tables,3,372.89,0.0,1118.67,349.03,Standard,7.0,3.6,False,GBP
ORD-100489,2024-07-30,CUST-00741,Consumer,South,Marketplace,Technology,Machines,5,208.64,0.0,1043.2,443.36,First Class,3.0,4.0,False,GBP
